id,name,sex
24747,"Timothy Patrick ""Tim"" Daggett",M
94462,Theo Piniau,M
130977,Michael George Wright,M
93182,Sinia Pea,M
102359,Mohammad Reza Roudaki,M
2478,Vladimir Aleksandrov,M
4992,Samantha Michelle Arvalo Salinas,F
97371,James Peter Quinn,M
69935,Christopher Linke,M
112663,Leif Mathias Srvik,M
62456,Helmut Koren,M
48493,Augustin Hilti,M
31403,Kenneth Edwards,M
36757,Marcus Fraser,M
73721,George Herbert Leigh Mallory,M
99341,Ins Remersaro Coronel,F
86562,Lon Marie Hubert Nossent,M
45381,"Stephen Patrick ""Steven"" Hancock",M
63232,Dorothy Elsie Kozak,F
104448,Anastasiya Sergeyevna Samoylenko (Shlyakhovaya-),F
6544,Richard Earl Bachtell,M
111313,Ali Sleiman,M
80985,Isaac Monsoor,M
102351,Jean Pierre Rouanet,M
68723,Ludwig Leupold,M
31498,Ernst Eggerbauer,M
43517,Edith Gufler,F
15874,Markus Bryner,M
94172,"Edward Charles ""Ted"" Piercy",M
111568,Austin Smith,M
38436,Emilio Garca Bengoechea,M
1353,Thure Johan Ahlqvist,M
116531,Mame-Marie Sy-Diop,F
68494,Sami Lepist,M
87835,"Athanasios ""Thanasis"" Oikonomou",M
11989,Jos Bladas Torras,M
84852,Marcello Neri,M
18339,Srgio Carnasciali,M
47811,Angel Hermida Garca,M
116783,Lszl Szchy,M
75878,Isao Masuda,M
15041,Stphanie Brieussel,F
90250,"Joseph Paletta, Jr.",M
117548,"Eerik Jaakko ""Erkki"" Tamila (Dahlgren-)",M
28722,"Eduard Richard ""Eddie"" Dix",M
33615,Rolf Faes,M
132721,Yun Mi-Gyeong,F
38968,Gastn Norberto Gaudio,M
81143,Mara de Lourdes Montoya Castorena,F
134258,Kazimierz Franciszek Zimny,M
14220,Dianne Marie Bowering-Burge,F
63932,Vasilios Krommydas,M
76364,Micha Franciszek Mieczysaw Matyas,M
112596,Marvin Anthony Sordell,M
97768,Arnr Ragnarsson,M
122002,Mihai urca,M
34393,Melissa Lynn Q. Fejeran,F
71201,Vladimir Ivanovich Loshchilov,M
82586,Edward Connelly Mullen,M
20186,Chen Ling,F
112701,Antero Hjalmari Sotamaa,M
130622,Ernst Wll,M
27798,Bereket Desta Gebretsadik,M
82857,Abel Muoz,M
72586,Jorge Maciel Andrs,M
101479,Franz Hermann Otto Rhr,M
79306,Majda Milak,F
113071,Igor Igorevich Spasovkhodsky,M
57509,Valery Yevgenyevich Karpov,M
119542,Tian Jun,M
61497,Zina Kocher,F
40007,Maria Giatrakou,F
74751,Matti Markkanen,M
128567,Weibel,M
112485,Song Gwang-Seon,M
67509,Lee Dong-Su,M
121715,Koju Tsukamoto,M
133447,Juozas ebrauskas,M
97294,Alisher Qudratov,M
6321,Mohamed Azmi,M
51156,Veikko Huuskonen,M
75592,Franco Marvulli,M
37352,Rosa Fuentes,F
26699,Arie de Vroet,M
37646,Vladimir Anatolyevich Fyodorov,M
68402,Constantino Len Lpez,M
78408,Carlos Mercenario Carbajal,M
110710,Sion,M
61047,Petar Klofutar,M
134098,Inna Ivanovna Zhukova,F
31275,Gary John Eddy,M
63905,Andr Krogster,M
114603,Antje Stille,F
123010,Petra Maria Pauliina Vaarakallio,F
28040,Rafael Matias di Tella Ruvira,M
47096,Aage Heimann,M
97849,Kishor Rahtna Rai,M
128349,Diana Elizabeth Weavers (-Te Awa),F
91722,Gheorghe Punescu,M
130490,"Richard Charles ""Rick"" Wohlhuter",M
121655,Nikita Dmitriyevich Tsmyg,M
37209,Nina Nikolayevna Frolova,F
117636,Tan Ya,M
60148,Seien Kin,M
101798,Alfonso Carlos Romo Garza,M
125395,Brigitte Vernaillen,F
124000,"Adrianus ""Adri"" van Houwelingen",M
52458,George Issabeg,M
34083,Petar Fartunov,M
14188,Floris Jan Bovelander,M
42775,Tatyana Grigorenko,F
50963,Pavlo Mykolaiovych Hurkovskiy,M
61832,Bolesaw Stanisaw Kolasa,M
58345,Barry Kelly,M
75568,Semyon Ivanovich Marushkin,M
117915,Jevon Anton Tarantino,M
35492,Graham Chudleigh Fisk,M
4546,Micha Antoniewicz (-Woysym),M
60228,Courtney King-Dye,F
26598,Pierre De Soete,M
78589,Nahom Mesfin Tariku,M
106428,Othmar V. Schmalz,M
50036,Hou Xiaolan,F
108012,Jean-Michel Sngal,M
19109,Jos Cavero Samilan,M
84264,Naung Ye Tun,M
106860,Emil Schpflin,M
3601,Ana Paula Rodrigues Connelly (-Rodrigues Henkel),F
86171,No Ju-Hui,F
107480,"Maxwell ""Max"" Seales",M
113484,Luise Stblein,F
47845,Daphne Hernndez,F
17032,Albert Byrd,M
17293,Mazhar akin,M
41017,"Sandra ""Sandi"" Goldsberry (-Tyler, -Woepse)",F
58381,"Margaret Mary ""Maggie"" Kelly-Hohmann",F
70699,Olga Loizou,F
10142,"Jefferson Taft ""Jeff"" Bennett",M
127546,Thomas Wallner,M
76800,Shea McAleese,M
25808,Irma Nelly de Antequeda Orlando (Grampa-),F
3289,Aguida Fatima Amaral,F
1282,Juan Luis Aguirre Barco,M
52738,Tatyana Mikhaylovna Ivinskaya (-Beloshapko),F
111254,Oegs ahovs,M
67034,"Philip ""Phil"" Lawton",M
3418,Eliahu Amiel,M
77758,Eberhard Mehl,M
27627,Emel Dereli,F
99534,Anke Reschwamm-Schulze,F
30824,Claudius Dutrive,M
2137,Raja Faradj Al-Shalawi,M
35272,"Ericlia ""Fil"" Bodziak",F
123854,"Cornelis Theodorus Maria ""Kees"" Van Dongen",M
36170,Csilla Frin,F
49771,George Leslie Horine,M
33606,Khaled Fadhel,M
11814,"Charles Greene ""Chuck"" Bittick, Jr.",M
71519,Lu Ying,F
36543,Genesis del Carmen Franchesco Machado,F
16393,Elliot John Bunney,M
50999,Pablo Hurtado Castaeda,M
73939,Vilm Mandlk,M
18285,"Johan Erik ""John"" Carlsson",M
45551,Edmund Carl Marius Mller Hansen,M
79886,Satoru Misawa,M
38702,Yekaterina Aydarovna Gariyeva,F
104916,George Sanna,M
75827,Caroline Masson,F
35449,Naomi-Lee Fischer-Rasmussen,F
17282,Anne Cairns,F
1064,Brian O'Neill Afanador Prez,M
95628,Rudolf Popler,M
58864,Mykhailo Khalilov,M
101925,Antnio Fernandes Roquete,M
132866,Allan Zachariasen,M
112651,Soronzonboldyn Battsetseg,F
105081,Rosangela Cristina Oliveira Santos,F
29935,"Pamela Kristine ""Pam"" Dreyer (-Sunkinen)",F
60519,Aleksey Ivanovich Kiselyov,M
48950,Karen Hoff,F
43609,Maria Elisa Guimares Zanini,F
56433,Mads Petter Kaggestad,M
6569,Olivier Backes,M
35473,Duncan J. Fisher,M
46417,Sidney Herbert Hatch,M
68872,John Wayne Lewis,M
49421,John David Holt,M
50658,Christobal Huet,M
111936,Betsy Baxter Snite (-Riley),F
117097,Sapsiree Taerattanachai,F
59311,ric Kibanza Lundoloki,M
41360,Armando J. Gonzlez Iguini,M
67052,R. Laycock,M
69373,Arvis Liepi,M
87485,Olav Magnar Odden,M
44232,Jzsef Gynyr,M
82423,Federico A. Mueller,M
115405,Ludk tyks,M
133581,Zeng Shaoxuan,M
107288,Reinhard Schwarzenberger,M
103055,John Alastair Leigh Russell,M
101668,Viktor Romanenkov,M
128970,Jan Werner,M
21357,Raquel Chumpitaz,F
4428,Isakas Anolikas,M
5595,"Thomas Garrett ""Tom"" Askwith",M
10074,Susan Benicke,F
70175,Liu Guozhen,M
115265,"Thomas Paul ""Tom"" Strzalkowski",M
31009,Kenneth Dzekedzeke,M
88585,Sylvester Omodiale,M
47358,Tore Hem,M
97544,Delphine Jeanine Annie Racinet-Reau,F
67994,Karl Georg Lehle,M
111671,Jason Michael Smith,M
83508,Na Yubo,M
36267,"Joseph Cephis ""Joe"" Fortenberry",M
36735,Otto Frdorf,M
51151,Heikki Huttunen,M
131623,Miyuki Yamashita,F
55956,Ju Min-Jin,F
4535,"Cosimo ""Nino"" Antonelli",M
113334,Joachim Spremberg,M
116599,"Nicholas ""Nick"" Symmonds",M
60386,"Ulrich Gnter Hermann ""Uli"" Kirchhoff",M
49716,"Heinrich ""Heinz"" Hoppichler",M
35049,Fichot,M
57937,Isao Kawabuchi,M
7171,Valerijonas (-Valerian) Balinas,M
120678,Mauricio Toscano,M
57913,Eirini Kavarnou,F
70719,Lubo Lom,M
5749,Rayna Atanasova,F
34543,Alfred George Fentiman,M
59742,Kim Hyeon-Mi,F
110651,Ian Single,M
12629,Lucien C. N. Boekmans,M
121594,Tserenbaataryn Enkhbayar,M
837,Walter Adams,M
62481,Nikola Korica,M
77789,Mei Zhibin,F
8987,Jamie Beadsworth,M
17713,Erich Campe,M
111293,Jaroslav Slvik,M
72173,Lyubov Alekseyevna Lyadova,F
82987,Samat Muratov,M
18141,James Farquhar Cardno,M
116191,Shinri Suzuki,M
29866,Vra Drazdkov,F
38877,Jol Gaspoz,M
5765,Sarah Atcho,F
122701,Taina Maria Uppa-Kolkkala,F
105832,Johan Stre,M
18260,ystein Carlsen (-Lund Carlsen),M
4938,S. Ardoin,M
5106,Carl Nils Gabriel rmann,M
111321,ystein Slettemark,M
66652,Carlos Lastarria Escobedo,M
63414,Denise Kramer-Scholer,F
61484,Martin Koch,M
126701,Gusztv von Pados,M
58280,"Rebecca D. ""Becky"" Kellar (-Duke)",F
76783,Ponciano Mbomio Castillo,M
70863,Bart Looije,M
10357,Kristoffer Zakarias Berg,M
15395,"Gregory John ""Greg"" Brough",M
986,Adogon,M
43075,George (Georg Ehrenfried-) Grosz (Gro-),M
12571,Bernadett Bdi (-Bognr),F
58080,Linda Kazienko,F
3545,Tom Amundsen,M
34,Dagfinn Sverre Aarskog,M
12824,Victor Charles Gustave Boin,M
13839,Lucien Bottin,M
92785,Enrique Prez Soler,M
68994,Li Gyong-Ok,F
59167,Fathi Ali Khorshid,M
17959,Cao Yuan,M
66252,Christiane Lanzke,F
105084,Telma Isabel da Silva Santos,F
51663,Pelopidas Iliadis,M
116254,Rbert vehla,M
63440,Juttaporn Krasaeyan,F
23796,Paola Croce,F
18247,Jens Carlowitz,M
40760,Go Gwang-Seon,M
20985,Choi Myeong-Suk,F
41073,Heinrich Gollwitzer,M
65266,Simona La Mantia,F
24582,Mrcio Rogrio da Cruz,M
40382,Marco Giovannetti,M
48875,"Daniel Allen ""Dan"" Hodge",M
30249,Marcel Duchemin,M
98302,Jean Randrianjatavo,M
119538,Tian Bingyi,M
128420,"Raymond ""Randy"" Weber",M
25111,Thibaut Amani Danho,M
129575,"Albert Marcus Wiggins, Jr.",M
92362,Roberto Pelliconi,M
43297,Gu Xuesong,M
88704,Galina Viktorovna Onoprienko (Zhivilo-),F
94894,"Judith White ""Judy"" Playfair",F
54369,Jeong Mi,F
50394,Oksana Htmxanova,F
75548,Sergey Martynov,M
6754,Antanas Bagdonaviius,M
57825,Berndt Leopold Katter,M
34941,Arturo Ferreyros Prez,M
116256,Lra Sveinsdttir,F
103250,Mikhail Fyodorovich Rybak,M
15097,Dirk Brinkmann,M
14072,Clia Bourgeois,F
76221,Francesco Mattei,M
48861,Stefan Hck,M
123007,Jesse Vnnen,M
75320,Hugo Omar Martnez,M
90716,Anna Ramona Papaioannou,F
10820,Sylviane Berthod,F
23777,Nicolae Cristoloveanu,M
97436,Jean Quiquampoix,M
14002,Guy-Elie Boulingui,M
102067,Hassan Roshan,M
133052,Jan Zakrzewski,M
20566,Sergio Chianella,M
122737,Paul Urbain,M
126807,Yelena Konstantinovna Vorona,F
133234,Daniele Zappaterra,M
82868,Elas Muoz Rios,M
58340,Elise Kellond-Knight,F
124511,Ilona Vradi-Pter,F
75752,Michele Mary Mason-Brown,F
118753,Cristina Teuscher,F
132292,Kenshichi Yokoyama,M
10938,Mustafa Bei,M
22954,Harold Alton Corbin,M
28403,Friedrich Dietz von Weidenberg,M
63660,"Friedrich ""Fritz"" Krempel",M
43782,Lars Ove Gunnarsson,M
72055,Odette Lusien (-Casteur),F
82139,Henri Louis Dsir Mouillefarine,M
83469,Marit Myrml,F
85270,Nguyn ng Bnh,M
116414,Isabel Marques Swan,F
121922,Tmentsetsegiin itmen,M
133610,Reinhard Zerfowski,M
11236,"Lisa ""Louise"" Bianchini (Wadstrm-)",F
94977,"Anthony ""Tony"" Plourde",M
66172,Yves Langlois,M
96230,Rossy Pratiwi Dipoyanti,F
45291,Han Gyong-Si,M
53374,tpn Janek,M
54563,Ji Yanyan,F
69882,Klas Artur Lindstrm,M
27349,Georges Lucien Dmanet,M
4479,Francisco Antequera Alabau,M
84374,Andrei Nazarov,M
75798,Esteban Ral Masseilot Da Silva,M
18573,Jacob Frilund Carstensen,M
74980,Barbara Ann Marshall,F
94045,Michelle Picard,F
98619,Pekka Veli Rauhala,M
108563,Yury Avanesovich Shakhmuradov,M
61964,"Albertina Iosifovna ""Berta"" Kolokoltseva (Zlobina-)",F
109694,Andriy Oleksiyovych Sienichkin,M
121215,Achille Charles Marcel Tribouillet,M
14810,Johnny (-Wahid) Bredahl Johansen,M
125435,Francesco Verri,M
15890,Gerda Elbieta Bryka (-Krajciczek),F
22974,Kevin Cordes,M
27864,"Michael ""Mike"" Deveney",M
36562,Conrad Anthony Francis,M
68297,David Lemon,M
81751,Paola Moro,F
103923,Toshiyuki Sakai,M
96635,Sergey Sergeyevich Prokopyev,M
104580,Domingo Snchez Gracia,M
96147,"Andrew William ""Andy"" Pozzi",M
134336,Ridha Zitoun,M
93545,Ioannis Petritsis,M
127584,Roy Walsh,M
39282,Francisco Gelaberti,M
40844,"Laurence Paul ""Larry"" Godfrey",M
96933,Roberto Putis,M
5577,Morten Ask,M
29509,Mrvio Kelly dos Santos,M
90745,Stefanos Paparounas,M
127626,Margo Lee Walters (-McDonald),F
95046,Antonio Sebastin Pocov,M
17980,Claudio Capelli,M
18651,Mrio Paulo Moura Carvalho,M
39176,Yanet Seyoum Gebremedhin,F
26848,dm Jozsef Decker,M
7811,Reginald George Bare,M
57860,Gordon Bernie Kaufmann,M
91384,Igor Petrovich Pashevich,M
8592,Ren Battaglia,M
41038,Eugenia Golea,F
129426,Per Edgar Ragnar Wicksell,M
56809,Erkki Kmrinen,M
132719,Yun Ju-Il,M
96760,Viktor Romanovich Pryazhnikov,M
50698,Emily Anne Hughes (-Mukherjee),F
10649,Cheryl Bernard (Kullman-),F
26893,"Ferdinand ""Ferry"" Dedovich",M
34093,Willy Fascher,M
90680,Khristina Papadaki,F
94108,Sydney Pickrem,F
26822,Debrinay,M
50258,Trond Hines,M
44226,Karl Johan Axel-Erik Gyllenstolpe,M
92003,Keir John Pearson,M
128666,Louis John Weintz,M
9540,Nuria Belchi Ibez,F
129550,Pawe Wiesioek,M
133872,Zhao Lifeng,M
61983,Mikayel Koloyan,M
103548,Bartomiej Saczuk,M
21305,"Yu Ching ""Marilyn"" Chua",F
1927,Hamad A. Al-Hammadi,M
15912,Bjrn Brnnum,M
10598,Ren Berlingeri,M
47603,Lerissa Henry,F
85999,Masafumi Nishi,M
1581,Salman Akbar,M
68980,Li Ge,M
55977,Sofie Jurez,F
37708,Axel Robert Gabrielsson,M
76949,Jenna McCorkell,F
131455,Nikolay Ivanovich Yakovenko,M
1309,Sabiahmad Abdullah Ahad,M
36697,"Francisco Srgio ""Fransergio"" Garca",M
76124,Mikio Matsuda,M
33408,Valter Ever,M
91127,Park Yong-Woo,M
99361,Mnika Remsei,F
94959,Sebastian Ploner,M
99915,Antoine Richard,M
100686,Daphne Lilian Evelyn Robb-Hasenjger,F
62905,Kalevi (Kalev-) Kotkas,M
56691,Stig Lennart Kll,M
67483,Lee Chong Wei,M
128002,"Samuel ""Sam"" Ward",M
22663,Georges Joseph Conraux,M
64456,Sigvard Kukk,M
66996,Radcliffe Lawrence,M
82350,Monika Mrklas (-Friedrich),F
133450,Elbieta Regina ebrowska (Bednarek-),F
107584,Naomi Sedney,F
24922,Gianfranco Dalla Barba,M
51079,Saber Belal Hussein,M
112712,Joef oti,M
43040,Imre Anthony Sandor Gross,M
61342,Mykhailo Mykolaiovych Knysh,M
116653,Christian Olaf Syvertsen,M
116806,Attila Szekrnyessy,M
72097,Miguel Timteo Pontes Lutonda,M
9890,Hichem Ben Romdhane,M
16984,Lene Byberg,F
28312,"Diedja M. ""Didi"" Roque Barreto",F
57943,Takayoshi Kawagoe,M
71830,Francis Luna-Grenier,M
89429,Tomio Ota,M
60985,Zbigniew Klimowski,M
91524,Ramalingam Pathmarajah,M
92161,Trygve Bjarne Pedersen,M
85508,Ingar H. Nielsen,M
92304,Rafael Peles,M
93000,Paul Eugne Clestin Perquer,M
127707,Asbjrn Rudolf Wang,M
91266,"Deborah-Ann ""Debbie-Ann"" Parris (-Thymes)",F
61304,Arne Knudsen,M
117505,Roberto Tamagnini,M
7650,Vitaliy Baranov,M
30988,Serge Dyot,M
93471,Georgios Petmezas,M
126385,E. H. Jrgen Vogler,M
40666,Ina Gliznua,F
128942,Joachim Wenzke,M
29705,"Rebecca Lauren ""Beckie"" Downie",F
100751,Karen Lynn Roberts,F
100990,Franziska Rochat-Moser,F
108815,Vitaly Venediktovich Shcherbo,M
20112,Chen Chia-Nan,M
99108,Rdiger Reiche,M
121874,Sainiana Tukana (-Rokolewetini),F
128140,Abdullah Noor Wasughe,M
27409,Serge Demirre,M
97901,Matti Raivio,M
123694,"Johannes ""Jan"" van der Hoek",M
126054,Rudi Vingerhoets,M
104442,Nataliya Anatolivna Samorodina,F
126268,Florin Vlad,M
60196,"Ellen Elizabeth King (-McPhearson, -Pearson)",F
20105,Chen Baoqiu,M
23870,Hannah Cross,F
115748,Mihai ul,M
10620,mile Bermyn,M
39204,Diana Kay Gee (-McDonnell),F
111917,John W. Snelling,M
59021,"Theodoros ""Akis"" Khatziantontiou",M
125336,Jean Karel Verhaert,M
132933,Mariana Zaharia,F
78180,Javier Mndez Gonzlez,M
38020,Johan Vilhelm Galln (-Kalema),M
6483,Steven Jeffrey Baccus,M
86414,Sture Mats Nordlund,M
116052,Felix Christiadi Sutanto,M
57395,Harry Boye Karlsen,M
110875,Johan Axel Sjberg,M
57783,Mikiko Kato,F
32926,Hseyin Erkmen,M
43569,Marie-Pierre Guilbaud (-Colin),F
37485,Bettina Mnica Fulco (-Villella),F
129501,Robert Wieland,M
14670,Rossano Francesco Brasi,M
69672,Jonas Lindberg (-von Geijer),M
101618,Wendell LeRoy Rollins,M
28161,Emilio Daz Miranda,M
84021,Mohamed Naouar,M
95555,Emma Jane Pooley,F
107134,"Frederick ""Fred"" Schumann",M
13465,Vladimir Fyodorovich Borisenko,M
80692,Enrique Molina,M
4274,Claude Angelo,M
97031,Sabina Mihaela Purdea,F
30358,Eugne Auguste Antoine Duflot,M
22473,Carolina Colorado Henao,F
98974,Lionel James Reed (-de Burgh),M
450,Leslie Ablett,M
21337,Viktor Ivanovych Chukarin,M
96323,"Christopher ""Chris"" Prentice",M
63224,"Elleanor Georgia N. ""Ellie"" Koyander",F
24094,Jairo Cubillos Ramrez,M
32490,Karl Endres,M
31363,Amira Edrahi,F
5311,Nicols Arsel,M
67084,Dimitri Lazarov,M
34214,Willy Favez,M
74843,Anca Mroiu,F
126547,Tetiana Andrivna Volosozhar,F
95025,Petre Poalelungi,M
26322,Federico De Luca,M
90933,Lilach Parisky,F
12511,Detlef Bock,M
24234,Augustus Cummins,M
11609,Tonio Biondini,M
116769,Kazimierz Wiesaw Szczerba,M
65976,Gabriel Ingemar John Landeskog,M
91263,David Neale Parrington,M
27976,Dhurgham Ismail Dawoud Al-Quraishi,M
67960,Jan Legierski,M
23631,"Pauline Ellen ""Polly"" Craus (-August)",F
132435,Andrew Young,M
9944,Alfred John Bencini,M
41701,Kazimierz Grecki,M
30480,Constantin Dumitra,M
48925,Sigurd Emanuel Hoel,M
107748,"Cynthia Fay ""Cindy"" Seikkula",F
91772,Vclav Pavkovi,M
21247,"Jeffrey ""Jeff"" Christie",M
113384,Georgios Spyridis,M
96921,Jorge Pujol Planella,M
48527,Martin Leonard Hindorff,M
23775,Pierpaolo Cristofori,M
77143,David Fisher McGowan,M
25251,Danzangiin Narantungalag,M
16113,Yelena Mikhaylovna Budnik,F
60812,Christian Klees,M
114062,"Jane ""Janko"" tefe",M
90959,Park Chil-Seong,M
115063,James S. Strauch,M
68217,Steve Lekoelea,M
116858,Pter Szikla,M
110736,Lori Anne Sippel,F
18226,Gerard Antoine Jan Carlier,M
59872,Kim Kyong-Jin,M
84333,Jan Leon Nawrocki,M
37291,Fu Haifeng,M
78805,"Gertrud ""Trudi"" Meyer (-Baier)",F
106918,"Wallace E. ""Wally"" Schreiber",M
105565,Franck Saunier,M
13305,Todd Roger Boonstra,M
17456,Gregorio Caloggero Urcia,M
112091,Gustaf Fredrik Sderstrm,M
118034,Apostolos Taskoudis,M
121257,Trnh Th B,F
67645,Lee Jeong-Hwa,F
88847,Narcisco Orn,M
100028,Carlo Manuel Richetti,M
49719,John Dutton Hopton (Hunt-),M
85847,"James ""Jim"" Nill",M
26732,Jacques Marie De Wykerslooth De Rooyesteyn,M
62255,Khristos Konstantinidis,M
25060,Dhulchand Damor,M
129409,douard Wick,M
117269,Narumi Takahashi,F
112812,Boubagar Soumana,M
8909,Rvn Bayramov,M
22868,Frederick Cooper,M
60417,Alisa Andreyevna Kirilyuk,F
95480,Rehan Jahangir Poncha,M
27842,Iosif Deutsch,M
58402,Imre Kemny,M
35260,Martino Fill,M
43582,Fernando Guilln Iglesias,M
43838,Guo Peng,M
72728,Giuseppina Macr,F
92001,John Joseph Pearson,M
8221,Leonid Volodymyrovych Barteniev,M
115203,Antnio Stromp,M
116215,Gunde Anders Svan,M
4438,Bjarne Amore Ansbl,M
104521,San Aye,M
53851,Milla Marika Jauho,F
44674,Robert Irwin Haigh,M
32987,Anthony Lee Ervin,M
72106,Bernard Luttmer,M
121953,Anna Tunnicliffe (-Funk),F
59011,Ravinder Khatri,M
26183,Jovana de la Cruz Capani,F
13754,Teona Bostashvili,F
95541,"Alexander Lockhart ""Alex"" Ponton",M
11528,Mira Bimperling,F
127514,Pieter Wilhelm Waller,M
55634,lafur H. Jnsson,M
96255,Anabelle Prawerman,F
81993,Vitaly Yuryevich Moskalenko,M
124830,Valeriya Vladimirovna Vatkina,F
98473,Karen Maud Rasmussen (-Pedersen),F
4812,Mnica Sarai Arango Estrada,F
15186,Paul Brochart,M
24895,Peter Richard Dale,M
61549,Eugeniusz Szczepan Koczorski,M
76875,Wayne McCarney,M
81779,Vladimir Ivanovich Morozov,M
32715,Isak Holger Erbn,M
77856,Niklas Meinert,M
78827,Olaf Meyland-Smith,M
52928,"Jennifer Simone Jackson (-Wanick, -Jones)",F
27899,Jonas Devouassoux,M
1015,Selvyana Adrian-Sofyan,F
128442,Craig Webster,M
86913,Horst Nubaumer,M
87362,"Leslie James ""Les"" O'Connell",M
19147,Magda Alfredo Cazanga,F
22940,Ramn Ricardo Cora Johnson,M
43964,Lars Peter Gustafsson,M
91215,Gloria Kay Parmentier (-Crabb),F
62406,Frantiek Kopiva,M
45544,Brge Hansen,M
106222,Anja Scheytt,F
18542,Nyla Jane Carroll,F
77130,Donna McGinnis,F
98031,Pierre Louis Ramadier,M
42758,Oto Grigalka,M
27419,Mmtaz Demirhan,M
127566,Bethany Therese Walsh,F
50283,Vavinec Hradlek,M
13964,Thomas Bouhail,M
93052,Francesco Perrone,M
93499,Esthera Petre,F
32691,Gheorghe Epurescu,M
51598,Mitsuka Ikeda,F
37446,Hiroshi Fukuda,M
95320,Ji Polvka,M
6877,Jeannette A. Bailey,F
105303,Guendalina Sartori,F
23433,Robin John Cousins,M
80254,Janez Mlinar,M
2775,Ikhlef Ahmed Hadj Allah,M
66477,Karin Larsen,F
100755,Kenny Roberts,M
59493,Lennox Stanislaus Kilgour,M
130953,David Wright,M
16795,Lino Businco,M
102193,Giorgio Rossi,M
80420,Evans Mogaka,M
4238,Arere Anentia,M
44808,Veronika Halder,F
69095,Li Ronghua,F
62471,Laurel V. Korholz,F
129230,John Thomas Whitaker,M
80922,Annie Marie Roseline Moniqui,F
14316,ngel Boyenechea,M
117554,Carl Sebastian Hugosson Tamm,M
111005,Santa Margarita Skeet Quiones,F
115532,I Nyoman Sudarma,M
14825,George Thomas Breen,M
67287,Anna Petrovna Lebedeva,F
76515,"Elizabeth Nicola ""Liz"" Holst May",F
80441,Ehsan Mohajer Shojaei,M
119063,Frans Thissen,M
50955,Tiombe Hurd,F
125684,Lise Vidal,F
27506,Franz Dengg,M
103227,"Michael ""Mike"" Ryan",M
77559,Sizwe Sydney Mdluli,M
38344,Giovanni Garaventa,M
77083,Cameron McEvoy,M
77118,Sonia Marian McGeorge (Vinal-),F
32949,Marcel Ernzer,M
72286,Oleksandr Lytvynenko,M
80562,Marwan Mohsen Fahmy Thirwat Fahmy,M
105601,Allin Paul Savage,M
101471,Mara Clara Rohner,F
683,Khaled Achour,M
89091,Ludwing Manuel Ortz Flores,M
121457,Valentina Truppa,F
122888,Gemma Usieto Blzquez,F
48464,"Willem Hendrik ""Willy"" Hillen",M
31450,Kameliya Eftimova,F
82924,Tetiana Stepanivna Muntian,F
130291,"Christopher ""Chris"" Winter",M
100203,"Anthony ""Tony"" Ries, Jr.",M
52598,Aleksandr Nikolayevich Ivanov,M
49471,Heinz Hubert Holzer,M
89519,Kristin Otto,F
9996,Camila Mazza de Benedicto,F
7157,Luis Gonzaga Balcells Auter,M
31659,Konrad Kurt Einsiedel,M
121081,Maria Trebunia (-Strczek),F
44574,Oddbjrn Hagen,M
25317,Bernard Darmet,M
47117,"Judith ""Jutta"" Heine",F
111146,Dimitrios Skouteris,M
87968,Yoshio Okita,M
126126,Alberto Visconti,M
122402,Gabriel Doru Uditeanu,M
126257,Ladislav Vzek,M
